维度,指标,数值,单位,说明
建筑穿越背景,输入既有建筑穿越长度,965.5691397739103,m,作为数据背景，不直接认定为错误
建筑穿越背景,最终总建筑穿越长度,965.5691397740266,m,
建筑穿越背景,最终保留的既有建筑穿越长度,965.5691397739104,m,
建筑穿越背景,处理过程中消除的既有建筑穿越长度,0.0,m,
建筑穿越保护,检测到的潜在新增建筑穿越长度,59.80521494517343,m,
建筑穿越保护,被保护机制阻止的新增建筑穿越长度,59.80521494505702,m,
建筑穿越保护,最终残余新增建筑穿越长度,1.1641532182693479e-10,m,
建筑穿越保护,新增建筑穿越阻止率,0.9999999999980534,比例,
分阶段建筑保护,neatify阻止的新增穿越,0.0,m,建筑exclusion_mask与阶段回退
分阶段建筑保护,consolidate_nodes阻止的新增穿越,1.0615356733615462,m,阶段审计与回退
分阶段建筑保护,extend_lines阻止的新增穿越,58.74367927169548,m,案例D式原生建筑barrier
分阶段建筑保护,close_gaps阻止的新增穿越,0.0,m,逐缺口提案建筑检查
缺口修复,缓冲网格接受提案数,50.0,组,包含相邻网格缓冲区中的重复提案
缺口修复,空间去重后的接受提案数,34.0,组,按1 mm精度标准化几何后去重
缺口修复,去重后接受提案的端点吸附距离合计,99.15333962786593,m,不是最终新增道路长度
缺口修复,缓冲网格拒绝提案数,0.0,组,
缺口修复,空间去重后的拒绝提案数,0.0,组,
缺口修复,去重后拒绝提案连接长度,0.0,m,
运行稳定性,生成网格数,4.0,个,
运行稳定性,提交任务数,4.0,个,
运行稳定性,成功网格数,4.0,个,
运行稳定性,失败网格数,0.0,个,
运行稳定性,网格成功率,1.0,比例,
运行稳定性,阶段回退次数,2.0,次,
运行稳定性,完整运行时间,53.660149000003,s,
运行稳定性,父子进程峰值内存,2819.43359375,MB,
