维度,指标,处理前,处理后,绝对变化,变化率,单位,说明
几何与规模,研究区内源要素数,6722.0,4090.0,-2632.0,-0.3915501338887236,条,
几何与规模,有效线部件数,6722.0,4091.0,-2631.0,-0.39140136864028563,条,
几何与规模,唯一线部件数,6722.0,4091.0,-2631.0,-0.39140136864028563,条,
几何与规模,道路总长度,367.1715320155995,261.9672026578677,-105.20432935773181,-0.2865263785027379,km,对重叠线进行唯一溶解后的长度
几何与规模,网络密度,30.8888026063772,22.03834585928599,-8.850456747091211,-0.28652637850273854,km/km²,
几何与规模,平均拓扑边长度,54.62236417964883,64.0506607965446,9.428296616895778,0.1726087246221497,m,
几何与规模,中位拓扑边长度,36.88320731218106,51.04831708780059,14.165109775619534,0.3840530910374858,m,
几何有效性,空几何数,0.0,0.0,0.0,,条,
几何有效性,缺失几何数,0.0,0.0,0.0,,条,
几何有效性,无效几何数,0.0,0.0,0.0,,条,
几何有效性,非线型几何数,0.0,0.0,0.0,,条,
几何有效性,非简单线数,0.0,0.0,0.0,,条,
几何有效性,完全重复冗余副本,0.0,0.0,0.0,,条,
几何有效性,局部重叠冗余长度,0.0,0.0,0.0,,m,唯一线部件总长度减去union_all后的唯一线长
短线与碎片,长度≤0.5 m线段,1.0,1.0,0.0,0.0,条,
短线与碎片,长度0.5–5 m线段,184.0,23.0,-161.0,-0.875,条,
短线与碎片,长度5–10 m线段,661.0,113.0,-548.0,-0.8290468986384266,条,
网络连通性,拓扑节点数,4765.0,3201.0,-1564.0,-0.32822665267576073,个,
网络连通性,拓扑边数,6722.0,4090.0,-2632.0,-0.3915501338887236,条,
网络连通性,连通分量数,16.0,16.0,0.0,0.0,个,
网络连通性,长度小于100 m的连通分量,9.0,8.0,-1.0,-0.1111111111111111,个,
网络连通性,长度小于500 m的连通分量,14.0,15.0,1.0,0.07142857142857142,个,
网络连通性,最大连通分量长度占比,0.9944419113747752,0.9921933228860076,-0.0022485884887676333,-0.002261156195296568,比例,
节点结构,度为1节点数,887.0,875.0,-12.0,-0.013528748590755355,个,
节点结构,度为1节点比例,0.18614900314795382,0.2733520774757888,0.087203074327835,0.4684584545345364,比例,
节点结构,排除边界15 m后的度为1节点数,762.0,757.0,-5.0,-0.006561679790026247,个,
节点结构,排除边界15 m后的度为1节点比例,0.16464995678478825,0.24609882964889468,0.08144887286410643,0.4946789811221582,比例,
节点结构,度为2节点比例,0.0,0.00031240237425804435,0.00031240237425804435,,比例,
节点结构,度为3节点比例,0.629800629590766,0.6304279912527335,0.0006273616619675293,0.0009961273972926615,比例,
节点结构,度为4及以上节点比例,0.18405036726128016,0.09590752889721962,-0.08814283836406053,-0.47890607161316817,比例,
节点结构,平均节点度数,2.8214060860440715,2.555451421430803,-0.26595466461326867,-0.094263164004926,度,
悬挂节点与潜在缺口,最近距离≤0.5 m的度1节点对,0.0,0.0,0.0,,对,仅统计排除研究边界15 m后的度1节点
悬挂节点与潜在缺口,最近距离0.5–5 m的度1节点对,0.0,0.0,0.0,,对,仅统计排除研究边界15 m后的度1节点
悬挂节点与潜在缺口,最近距离5–10 m的度1节点对,8.0,7.0,-1.0,-0.125,对,仅统计排除研究边界15 m后的度1节点
